year,code,cause,cause_level,dalys,dalys_thousands,dalys_millions,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,total_dalys,pct_all_dalys
2000,940,Neurological conditions,2,72104831.5806943,72104.8315806943,72.10483158069431,NA,F.,Neurological conditions,NA,NA,2841004961.46513,0.02538004423037306
2000,950,Alzheimer disease and other dementias,3,14553488.5250208,14553.4885250208,14.5534885250208,NA,NA,1.,Alzheimer disease and other dementias,NA,2841004961.46513,0.0051226550894566
2000,960,Parkinson disease,3,3331759.80954536,3331.75980954536,3.33175980954536,NA,NA,2.,Parkinson disease,NA,2841004961.46513,0.0011727398771690788
2000,970,Epilepsy,3,13160583.5192276,13160.583519227599,13.1605835192276,NA,NA,3.,Epilepsy,NA,2841004961.46513,0.004632369072822941
2000,980,Multiple sclerosis,3,745014.996169896,745.014996169896,0.745014996169896,NA,NA,4.,Multiple sclerosis,NA,2841004961.46513,2.6223642910700357e-4
2000,990,Migraine,3,32415854.071337,32415.854071337,32.415854071337,NA,NA,5.,Migraine,NA,2841004961.46513,0.011409995586427937
2000,1000,Non-migrane headache,3,3369955.85339284,3369.95585339284,3.36995585339284,NA,NA,6.,Non-migrane headache,NA,2841004961.46513,0.0011861844308976234
2000,1010,Other neurological conditions,3,4528174.80600086,4528.17480600086,4.528174806000861,NA,NA,7.,Other neurological conditions,NA,2841004961.46513,0.0015938637444918937
2000,1020,Sense organ diseases,2,46798873.3076249,46798.8733076249,46.7988733076249,NA,G.,Sense organ diseases,NA,NA,2841004961.46513,0.0164726475111435
2000,1030,Glaucoma,3,526114.908040872,526.1149080408719,0.5261149080408719,NA,NA,1.,Glaucoma,NA,2841004961.46513,1.8518619825625017e-4
2000,1040,Cataracts,3,4402004.83795446,4402.00483795446,4.402004837954459,NA,NA,2.,Cataracts,NA,2841004961.46513,0.0015494534144299098
2000,1050,Uncorrected refractive errors,3,10398982.235943,10398.982235943,10.398982235943,NA,NA,3.,Uncorrected refractive errors,NA,2841004961.46513,0.003660318224358242
